127.0.0.1 - - [25/May/2020:16:24:52 +0300] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [25/May/2020:16:26:04 +0300] "GET /BookStoreWebsite/admin/list_users HTTP/1.1" 200 1810
0:0:0:0:0:0:0:1 - - [25/May/2020:16:26:08 +0300] "GET /BookStoreWebsite/admin/user_form.jsp HTTP/1.1" 200 780
0:0:0:0:0:0:0:1 - - [25/May/2020:16:26:11 +0300] "GET /BookStoreWebsite/admin/list_users HTTP/1.1" 200 1810
0:0:0:0:0:0:0:1 - - [25/May/2020:16:30:46 +0300] "GET /BookStoreWebsite/admin/list_users HTTP/1.1" 200 1810
0:0:0:0:0:0:0:1 - - [25/May/2020:16:30:51 +0300] "GET /BookStoreWebsite/admin/user_form.jsp HTTP/1.1" 200 1157
0:0:0:0:0:0:0:1 - - [25/May/2020:16:33:07 +0300] "GET /BookStoreWebsite/admin/user_form.jsp HTTP/1.1" 200 1279
0:0:0:0:0:0:0:1 - - [25/May/2020:16:33:17 +0300] "GET /BookStoreWebsite/admin/list_users HTTP/1.1" 200 1810
0:0:0:0:0:0:0:1 - - [25/May/2020:16:35:59 +0300] "GET /BookStoreWebsite/admin/list_users HTTP/1.1" 200 1810
0:0:0:0:0:0:0:1 - - [25/May/2020:16:36:03 +0300] "GET /BookStoreWebsite/admin/user_form.jsp HTTP/1.1" 200 1318
0:0:0:0:0:0:0:1 - - [25/May/2020:16:36:15 +0300] "GET /BookStoreWebsite/admin/user_form.jsp HTTP/1.1" 200 1318
0:0:0:0:0:0:0:1 - - [25/May/2020:16:36:16 +0300] "GET /favicon.ico HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [25/May/2020:16:39:15 +0300] "GET /BookStoreWebsite/admin/user_form.jsp HTTP/1.1" 200 1440
0:0:0:0:0:0:0:1 - - [25/May/2020:16:44:23 +0300] "GET /BookStoreWebsite/admin/user_form.jsp HTTP/1.1" 200 1738
0:0:0:0:0:0:0:1 - - [25/May/2020:16:44:25 +0300] "POST /BookStoreWebsite/admin/create_user HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [25/May/2020:16:44:36 +0300] "GET /BookStoreWebsite/admin/user_form.jsp HTTP/1.1" 200 1738
0:0:0:0:0:0:0:1 - - [25/May/2020:16:44:44 +0300] "POST /BookStoreWebsite/admin/create_user HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [25/May/2020:16:45:36 +0300] "GET /BookStoreWebsite/admin/create_user%20method=?email=&fullname=&password= HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [25/May/2020:16:45:42 +0300] "GET /BookStoreWebsite/admin/user_form.jsp HTTP/1.1" 200 1738
0:0:0:0:0:0:0:1 - - [25/May/2020:16:45:43 +0300] "POST /BookStoreWebsite/admin/create_user HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [25/May/2020:16:46:23 +0300] "POST /BookStoreWebsite/admin/create_user HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [25/May/2020:16:46:27 +0300] "GET /BookStoreWebsite/admin/list_users HTTP/1.1" 200 1810
0:0:0:0:0:0:0:1 - - [25/May/2020:16:46:36 +0300] "GET /BookStoreWebsite/admin/user_form.jsp HTTP/1.1" 200 1738
0:0:0:0:0:0:0:1 - - [25/May/2020:16:46:44 +0300] "POST /BookStoreWebsite/admin/create_user HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [25/May/2020:16:50:35 +0300] "GET /BookStoreWebsite/admin/user_form.jsp HTTP/1.1" 200 1739
0:0:0:0:0:0:0:1 - - [25/May/2020:16:54:34 +0300] "GET /BookStoreWebsite/admin/user_form.jsp HTTP/1.1" 200 2172
0:0:0:0:0:0:0:1 - - [25/May/2020:16:54:51 +0300] "POST /BookStoreWebsite/admin/create_user HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [25/May/2020:17:13:03 +0300] "GET /BookStoreWebsite/admin/list_users HTTP/1.1" 500 4132
0:0:0:0:0:0:0:1 - - [25/May/2020:17:13:09 +0300] "GET /BookStoreWebsite/admin/list_users HTTP/1.1" 500 4132
